"1","01",,"НЕКОТОРЫЕ ИНФЕКЦИОННЫЕ И ПАРАЗИТАРНЫЕ БОЛЕЗНИ (A00-B99)",,,1,
"2","0101",,"КИШЕЧНЫЕ ИНФЕКЦИИ (A00-A09)","1",,1,
"3","0101A00","A00","Холера","2",,1,
"4","0101A000","A00.0","Холера, вызванная холерным вибрионом 01, биовар cholerae","3",,1,
"5","0101A001","A00.1","Холера, вызванная холерным вибрионом 01, биовар eltor","3",,1,
"6","0101A009","A00.9","Холера неуточненная","3",,1,
"7","0101A01","A01","Тиф и паратиф","2",,1,
"8","0101A010","A01.0","Брюшной тиф","7",,1,
"9","0101A011","A01.1","Паратиф A","7",,1,
"10","0101A012","A01.2","Паратиф B","7",,1,
"11","0101A013","A01.3","Паратиф C","7",,1,
"12","0101A014","A01.4","Паратиф неуточненный","7",,1,
"13","0101A02","A02","Другие сальмонеллезные инфекции","2",,1,
"14","0101A020","A02.0","Сальмонеллезный энтерит","13",,1,
"15","0101A021","A02.1","Сальмонеллезная септицемия","13",,1,
"16","0101A022","A02.2","Локализованная сальмонеллезная инфекция","13","1",1,
"17","0101A028","A02.8","Другая уточненная сальмонеллезная инфекция","13",,1,
"18","0101A029","A02.9","Сальмонеллезная инфекция неуточненная","13",,1,
"19","0101A03","A03","Шигеллез","2",,1,
"20","0101A030","A03.0","Шигеллез, вызванный Shigella dysenteriae","19",,1,
"21","0101A031","A03.1","Шигеллез, вызванный Shigella flexneri","19",,1,
"22","0101A032","A03.2","Шигеллез, вызванный Shigella boydii","19",,1,
"23","0101A033","A03.3","Шигеллез, вызванный Shigella sonnei","19",,1,
"24","0101A038","A03.8","Другой шигеллез","19",,1,
"25","0101A039","A03.9","Шигеллез неуточненный","19",,1,
"26","0101A04","A04","Другие бактериальные кишечные инфекции","2",,1,
"27","0101A040","A04.0","Энтеропатогенная инфекция, вызванная Escherichia coli","26",,1,
"28","0101A041","A04.1","Энтеротоксигенная инфекция, вызванная Escherichia coli","26",,1,
"29","0101A042","A04.2","Энтероинвазивная инфекция, вызванная Escherichia coli","26",,1,
"30","0101A043","A04.3","Энтерогеморрагическая инфекция, вызванная Escherichia coli","26",,1,
"31","0101A044","A04.4","Другие кишечные инфекции, вызванные Escherichia coli","26",,1,
